X;Y;id;lat;long;type;site;code;name
-0.5805;44.840439;7326;-0.580500000000000;44.840439000000003;Oberaden 74;Bordeaux;PHILODAMVS;Aquitania
2.1741;41.398371;33256;2.174100000000000;41.398370999999997;Dressel 2-4 Catalan;Barcelona;O;Tarraconensis
4.032143;46.92678;20958;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;SIN;Lugdunensis
-3.983333;55.95;16637;-3.983333000000000;55.950000000000003;Dressel 20;Cumbernauld;PQ;Caledonia
11.883333;45.416667;33025;11.883333000000000;45.416666999999997;Dressel 6B;Padova;LAEK;Italia
-1.983333;51.733333;16590;-1.983333000000000;51.733333000000002;Dressel 20;Cirencester;CPCAMO;Britannia
17.933333;40.633333;40133;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;DAMA;Italia
1.903887;47.902891;28008;1.903887000000000;47.902890999999997;Pascual 1;Orléans;M;Lugdunensis
4.860743;45.531592;39655;4.860743000000000;45.531592000000003;Dressel 20;Saint-Romain-en-Gal;CSEMPRONIPOLYCLITI;Narbonensis
4.032143;46.92678;20842;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;GA;Lugdunensis
14.966667;46.65;31676;14.966666999999999;46.649999999999999;Dressel 6B;Magdalensberg;PTOLEM;Noricum
6.807625;47.449211;8764;6.807625000000000;47.449210999999998;Dressel 20;Mandeure;EVRI;Germania Superior
4.942851;43.383543;10071;4.942851000000000;43.383543000000003;Gauloise 4;Golfe de Fos;MATVRI;Narbonensis
-0.751789;37.802242;23707;-0.751789000000000;37.802242000000000;Lamboglia 2;San Pedro;VICTORIA;Tarraconensis
8.645835;50.159548;27985;8.645835000000000;50.159548000000001;Dressel 20;Nida-Heddernheim;LIVNIMELISSI;Germania Superior
8.846132;49.897382;27413;8.846132000000001;49.897382000000000;Dressel 20;Dieburg;ACIRGI;Germania Superior
-0.986232;37.605121;23775;-0.986232000000000;37.605120999999997;Lamboglia 2;Cartagena;ALLAE;Tarraconensis
3.117809;42.139543;17486;3.117809000000000;42.139543000000003;Brindisian amphora;Ampurias;VEHIL;Tarraconensis
-5.02037;37.810702;28359;-5.020370000000000;37.810701999999999;Dressel 20;Almodóvar del Río;LIBERALINI;Baetica
4.873453;45.524785;39634;4.873453000000000;45.524785000000001;Dressel 20;Vienne;CSP;Narbonensis
3.1106;43.803533;6137;3.110600000000000;43.803533000000002;Dressel 1;Ceilhes-et-Rocozels;ANT;Narbonensis
6.685037;51.198071;14260;6.685037000000000;51.198070999999999;Dressel 20;Neuss;ENNIORVMIVLIORVM;Germania Inferior
17.933333;40.633333;38126;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;VEHILI;Italia
2.444503;41.542113;6275;2.444503000000000;41.542113000000001;Pascual 1;Mataró;VERD;Tarraconensis
17.933333;40.633333;41090;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;VEHILIANA;Italia
2.007994;41.396145;36500;2.007994000000000;41.396144999999997;Dressel 2-4 Catalan;Sant Vicenç dels Horts;P;Tarraconensis
17.85;40.683333;37504;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;VISELLI;Italia
8.413845;49.657495;27819;8.413845000000000;49.657494999999997;Augst 17;Hofheim;PONTICI;Germania Superior
17.933333;40.633333;39282;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;APOLLONI;Italia
1.333333;51.283333;15497;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;ACIRGI;Britannia
2.4;47.083333;28040;2.400000000000000;47.083333000000003;Dressel 20;Bourges;SFE;Aquitania
17.933333;40.633333;40680;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;PILEMO;Italia
6.735237;43.432858;19539;6.735237000000000;43.432858000000003;Dressel 20;Fréjus;GERMIS;Narbonensis
2.1741;41.398371;17316;2.174100000000000;41.398370999999997;Pascual 1;Barcelona;AMANDI;Tarraconensis
8.05;43.883333;19481;8.050000000000001;43.883333000000000;Dressel 2-4 Catalan;Imperia;CPF;Italia
-0.093145;51.514248;30734;-0.093145000000000;51.514248000000002;Mortarium;London;VRBANVSTIBERF;Britannia
8.115128;49.746574;27390;8.115128000000000;49.746574000000003;Dressel 20;Alzey;CAEF;Germania Superior
10.636991;35.825388;27103;10.636991000000000;35.825387999999997;Operculum;Sousse (Hadrumetum);ALEXANDER;Africa Proconsularis
13.5;43.633333;36165;13.500000000000000;43.633333000000000;Lamboglia 2;Ancona;CASTRA;Italia
17.85;40.683333;35937;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;LMARCISATVR;Italia
5.817642;48.663156;8019;5.817642000000000;48.663156000000001;Dressel 20;Choloy;LIVNIMELISSI;Belgica
11.25;42.5;33849;11.250000000000000;42.500000000000000;Dressel 1C;Albinia;ARS;Italia
9.254185;41.341096;18605;9.254185000000000;41.341096000000000;Dressel 2-4 Catalan;Îles Lavezzi;VIC;Corsica et Sardinia
